ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10262879,HY450750,10-05-2015 11:40,0000X N CLINTON ST,890,THEFT,FROM BUILDING,RESTAURANT,FALSE,FALSE,121,1,42,28,6,1172724,1900515,2015,10-12-2015 15:56,41.8824507,-87.64121107,"(41.882450699, -87.641211065)"
10262456,HY450225,10-05-2015 11:35,016XX W MADISON ST,560,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,1224,12,2,28,08A,1165372,1900087,2015,10-12-2015 15:56,41.88143577,-87.66821978,"(41.881435765, -87.668219782)"
10262462,HY450207,10-05-2015 11:35,003XX W 64TH ST,460,BATTERY,SIMPLE,HOSPITAL BUILDING/GROUNDS,FALSE,FALSE,722,7,20,68,08B,1175044,1862506,2015,10-12-2015 15:56,41.77809913,-87.63382853,"(41.778099133, -87.633828531)"
10262953,HY450663,10-05-2015 11:30,027XX N NEW ENGLAND AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,2512,25,36,18,5,1129953,1917472,2015,10-12-2015 15:56,41.92982213,-87.79788029,"(41.929822131, -87.797880287)"
10262412,HY450223,10-05-2015 11:30,076XX S ADA ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,612,6,17,71,08B,1168769,1853928,2015,10-12-2015 15:56,41.75469776,-87.65708013,"(41.754697763, -87.65708013)"
10262515,HY450328,10-05-2015 11:30,023XX E 67TH ST,810,THEFT,OVER $500,STREET,FALSE,FALSE,331,3,5,43,6,1193075,1861000,2015,10-12-2015 15:56,41.77354507,-87.56777637,"(41.773545067, -87.567776374)"
10263501,HY451341,10-05-2015 11:30,063XX W 56TH ST,460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,811,8,23,56,08B,1135110,1866750,2015,10-12-2015 15:56,41.79054357,-87.78013033,"(41.79054357, -87.780130326)"
10262490,HY450252,10-05-2015 11:21,051XX W BLOOMINGDALE AVE,497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,SIDEWALK,FALSE,TRUE,2533,25,37,25,04B,1141910,1911485,2015,10-12-2015 15:56,41.91317986,-87.75408946,"(41.913179858, -87.754089457)"
10262884,HY450661,10-05-2015 11:15,063XX S COTTAGE GROVE AVE,320,ROBBERY,STRONGARM - NO WEAPON,STREET,FALSE,FALSE,312,3,20,42,3,1182653,1863145,2015,10-12-2015 15:56,41.77967938,-87.60591409,"(41.779679377, -87.605914093)"
10262617,HY450282,10-05-2015 11:14,062XX S ASHLAND AVE,4625,OTHER OFFENSE,PAROLE VIOLATION,STREET,TRUE,FALSE,713,7,16,67,26,1166743,1863240,2015,10-12-2015 15:56,41.78029458,-87.66423936,"(41.780294584, -87.664239363)"
10262485,HY450244,10-05-2015 11:05,053XX S SPAULDING AVE,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,RESIDENTIAL YARD (FRONT/BACK),TRUE,FALSE,822,8,14,63,18,1155287,1869022,2015,10-12-2015 15:56,41.79639817,-87.70608459,"(41.796398165, -87.706084587)"
10263286,HY451098,10-05-2015 11:05,082XX S CORNELL AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,411,4,8,45,08B,1188700,1850584,2015,10-12-2015 15:56,41.74506839,-87.58414641,"(41.745068391, -87.584146411)"
